,Brett,John,Gregory,Mike,David,Kyle,Ian
FRANCE,,,,,,,50
SPAIN,,43,,,,,
ARGENTINA,,,,,40,,
ENGLAND,,,,,,38,
PORTUGAL,,,,,,,37
BRAZIL,,,35,,,,
MOROCCO,,,,,35,,
NETHERLANDS,30,,,,,,
BELGIUM,24,,,,,,
GERMANY,,28,,,,,
CROATIA,22,,,,,,
COLOMBIA,,,24,,,,
SENEGAL,,,,,15,,
MEXICO,,,,,,18,
USA,,,,18,,,
URUGUAY,,,,15,,,
JAPAN,12,,,,,,
SWITZERLAND,,,,18,,,
IRAN,,,,,,,9
TURKEY,,14,,,,,
AUSTRIA,,,,11,,,
ECUADOR,,,,,,15,
SOUTH KOREA,,,13,,,,
AUSTRALIA,6,,,,,,
ALGERIA,,,7,,,,
EGYPT,,,,6,,7,
CANADA,,,,9,,,
NORWAY,,,,12,,,
PANAMA,4,,,,,,
IVORY COAST,,,,,7,,
SWEDEN,,9,,,,,
PARAGUAY,,,,,,6,
CZECHIA,,,4,,,,
SCOTLAND,,,,7,,,
DR CONGO,,4,,,,,
TUNISIA,,,3,,,,
UZBEKISTAN,,,,,,2,
QATAR,,,3,,,,
IRAQ,,,,2,,,
SOUTH AFRICA,,,,,,3,
SAUDI ARABIA,,,3,,,,
JORDAN,,,,,,3,
BOSNIA AND HERZ,,,,,3,,
CAPE VERDE,,,,,,4,
GHANA,,,3,,,,
HAITI,,,5,,,,
CURACAO,,,,,,4,
NEW ZEALAND,,,,,,,4
